Correto,Observação,DataHora (Manual),Localização (Manual),"DataHora, Localização (Modelo)"
TRUE,,2024-11-15 18:00,Na pista de skate do viaduto santa tereza,2024-11-15T18:00;Na pista de skate do viaduto santa tereza
TRUE,,2024-11-15 18:00,Na pista de skate do viaduto santa tereza,2024-11-15T18:00;Na pista de skate do viaduto santa tereza
TRUE,,2024-11-15 18:00,Na pista de skate do viaduto santa tereza,2024-11-15T18:00;Na pista de skate do viaduto santa tereza
TRUE,,2024-11-15 18:00,Na pista de skate do viaduto santa tereza,2024-11-15T18:00;Na pista de skate do viaduto santa tereza
TRUE,,2024-11-15 18:00,Na pista de skate do viaduto santa tereza,2024-11-15T18:00;Na pista de skate do viaduto santa tereza
TRUE,,2024-11-15 18:00,Na pista de skate do viaduto santa tereza,2024-11-15T18:00;Na pista de skate do viaduto santa tereza
TRUE,,2024-11-15 18:00,Na pista de skate do viaduto santa tereza,2024-11-15T18:00;Na pista de skate do viaduto santa tereza
TRUE,,2024-11-15 18:00,Na pista de skate do viaduto santa tereza,2024-11-15T18:00;Na pista de skate do viaduto santa tereza
TRUE,,2024-11-15 18:00,Na pista de skate do viaduto santa tereza,2024-11-15T18:00;Na pista de skate do viaduto santa tereza
TRUE,,2024-11-15 18:00,Na pista de skate do viaduto santa tereza,2024-11-15T18:00;Na pista de skate do viaduto santa tereza
TRUE,,2024-11-15 18:00,Na pista de skate do viaduto santa tereza,2024-11-15T18:00;Na pista de skate do viaduto santa tereza
TRUE,,2024-11-15 18:00,Na pista de skate do viaduto santa tereza,2024-11-15T18:00;Na pista de skate do viaduto santa tereza
TRUE,acertou localização por endereço,2024-10-29 18:30,Centro Cultural Venda Nova - Belo Horizonte,"2024-10-29T18:30;José Ferreira dos Santos,184 Jardim dos Comerciários"
TRUE,,2024-10-29 18:30,"José Ferreira dos Santos, 184, Jardim dos Comerciários","2024-10-29T18:30;José Ferreira dos Santos,184 Jardim dos Comerciários"
TRUE,,2024-10-29 18:30,"José Ferreira dos Santos, 184, Jardim dos Comerciários","2024-10-29T18:30;José Ferreira dos Santos,184 Jardim dos Comerciários"
TRUE,,2024-10-29 18:30,"José Ferreira dos Santos, 184, Jardim dos Comerciários","2024-10-29T18:30;José Ferreira dos Santos,184 Jardim dos Comerciários"
TRUE,,2024-10-29 18:30,"José Ferreira dos Santos, 184, Jardim dos Comerciários","2024-10-29T18:30;José Ferreira dos Santos,184 Jardim dos Comerciários"
TRUE,,2024-10-29 18:30,"José Ferreira dos Santos, 184, Jardim dos Comerciários","2024-10-29T18:30;José Ferreira dos Santos,184 Jardim dos Comerciários"
